Address, Latitude, Longitude
"Road- 2, Section -2, Block- F, mirpur 2, Mirpur, Dhaka,Dhaka",23.8052647,90.37634349999999
"Ring Road,Moddho Badda, Dhaka.,Dhaka",23.7805462,90.4266584
"Chan Mia Masjid Road, Baipail, Ashulia, Savar, Dhaka. ,Dhaka",23.9325782,90.2784385
"Staff Quarter Road, Demra, Dhaka,Dhaka",23.7493886,90.4615274
"Road -10, Tilpa para, khilgaon, Dhaka,Dhaka",23.7470735,90.4284263
"Road 2, Shyamoli, Dhaka,Dhaka",23.7748134,90.36633139999999
"Ramna Thana Road, Ramna, Dhaka,Dhaka",23.7330218,90.3983829
"Road- 9, Sector-9, Uttara, Dhaka,Dhaka",23.8705584,90.3988047
"Road- 53, Gulshan- 2, Dhaka,Dhaka",23.7954335,90.41215079999999
"Dilu Road, Mogbazar, Hatirjheel, Dhaka,Dhaka",23.7490786,90.4006103
"Road- 03, Nolvog Khalpar, Uttara, Dhaka.,Dhaka",23.8599216,90.4044243
"Road no.13, Section-6, Mirpur, Dhaka,Dhaka",23.8148354,90.3640917
"Shapla Housing, Morpol, Savar, Dhaka,Dhaka",23.8039919,90.2590263
"Lal Mia Street, Wari, Dhaka,Dhaka",23.7224825,90.41027609999999
"Distillery Road, Gendariya, Jatrabari, Dhaka,Dhaka",23.7058801,90.4229805
"Bottola road, Boardbazer Gazipur Sadar, Gazipur,Dhaka",23.9515664,90.3926123
"Bilaspur, Joydebpur, Gazipur,Dhaka",24.0041455,90.4158846
"khalatot molla road, Auch para, Tongi, Gazipur,Dhaka",23.9136816,90.39319789999999
"S.S. Academy Roads, Tongi, Gazipur,Dhaka",23.9096418,90.39623340000001
"Sahajalal Road, Boro Deura,Tongi, Gazipur,Dhaka",23.8513201,90.41289049999999
"Road- 12, Sector- 13, Uttara, Dhaka,Dhaka",23.8658116,90.3861682
"RK Mission Road, Gopibag, Dhaka,Dhaka",23.7219807,90.4262136
"Jakir Hossain Road, Block-E, Mohammadpur, Dhaka,Dhaka",23.7581143,90.3668727
"Road- 04, Block-C, Arifabad, Mirpur, Dhaka,Dhaka",23.7551752,90.37051830000001
"k block, Golden complex, Halishahar, Chattogram,Chattogram",22.3336206,91.7910132
"Road- 48, 1 no Dakesshori, Bondor, Narayanganj,Narayanganj",23.6237764,90.50004039999999
"Shasoaj road, Nitaigonj, Narayanganj,Narayanganj",23.6051413,90.5048158
"Kadamrasul road, 23 no ward, Narayanganj,Narayanganj",23.6302726,90.52200080000001
"Kadamrasul road, 23 no ward, Narayanganj,Narayanganj",23.6302726,90.52200080000001
"Road no- 01, Ram krishno road, Gopibag, Dhaka,Dhaka",23.7222615,90.42738299999999
"Sher e bangla ring road,Majdail,Narayanganj,Narayanganj",23.6250689,90.4911564
"Mizmizi Road, Poshchimpara, Siddhirganj, Narayanganj,Narayanganj",23.6821653,90.4950746
"Hazi brother's road, Jamtola, Narayanganj Sadar, Narayanganj,Narayanganj",23.6241465,90.493894
"TC Road, Jhalkori,  Siddhirganj, Narayanganj,Narayanganj",22.5046484,88.3377007
"Road no- 8, Housing area, Shiddirganj, Narayanganj,Narayanganj",23.6894656,90.484115
"Road-11, Cosmopolitan R/A, Chattogram City Corporation, Chattoggram,Chattogram",22.3624942,91.8221456
"MM Ali Road, Chakbazar, Chattogram City Corporation, Chattogram,Chattogram",22.3517735,91.8330525
"Road no- 3,West khulshi Residential Area, Chattogram City Corporation, Chattogram,Chattogram",22.3632534,91.8117307
"Road no- 3,West khulshi Residential Area, Chattogram City Corporation, Chattogram,Chattogram",22.3632534,91.8117307
